frame,abstime,reltime,april10_baselineBoardC_3.seq:Rectangle 1 [C]:max,april10_baselineBoardC_3.seq:Polygon 1 [C]:max,april10_baselineBoardC_3.seq:Rectangle 2 [C]:max,april10_baselineBoardC_3.seq:Rectangle 3 [C]:max,april10_baselineBoardC_3.seq:Rectangle 4 [C]:max,april10_baselineBoardC_3.seq:Rectangle 5 [C]:mean
122,2000-02-10 06:32:01.679000,19.362000,2.588541e+01,2.750783e+01,2.703439e+01,2.637743e+01,2.479892e+01,2.461354e+01
123,2000-02-10 06:32:01.839000,19.522000,2.598669e+01,2.736802e+01,2.698091e+01,2.643793e+01,2.477844e+01,2.461981e+01
124,2000-02-10 06:32:01.999000,19.682000,2.595294e+01,2.743462e+01,2.698759e+01,2.646481e+01,2.485351e+01,2.462948e+01
125,2000-02-10 06:32:02.159000,19.842000,2.591918e+01,2.738134e+01,2.698759e+01,2.649168e+01,2.495580e+01,2.463853e+01
126,2000-02-10 06:32:02.319000,20.002000,2.595969e+01,2.746125e+01,2.706779e+01,2.645137e+01,2.484669e+01,2.463283e+01
127,2000-02-10 06:32:02.479000,20.162000,2.596644e+01,2.752779e+01,2.701433e+01,2.648496e+01,2.483987e+01,2.465504e+01
128,2000-02-10 06:32:02.639000,20.322000,2.602044e+01,2.733470e+01,2.702102e+01,2.647824e+01,2.491490e+01,2.466517e+01
129,2000-02-10 06:32:02.799000,20.482000,2.602044e+01,2.730804e+01,2.702770e+01,2.651183e+01,2.488080e+01,2.466102e+01
130,2000-02-10 06:32:02.959000,20.642000,2.607440e+01,2.736802e+01,2.706779e+01,2.655212e+01,2.492171e+01,2.467386e+01
131,2000-02-10 06:32:03.119000,20.802000,2.605416e+01,2.736802e+01,2.712123e+01,2.651855e+01,2.490126e+01,2.468276e+01
132,2000-02-10 06:32:03.279000,20.962000,2.607440e+01,2.736135e+01,2.714126e+01,2.662594e+01,2.488762e+01,2.468955e+01
133,2000-02-10 06:32:03.439000,21.122000,2.598669e+01,2.746125e+01,2.705443e+01,2.659910e+01,2.483305e+01,2.469520e+01
134,2000-02-10 06:32:03.599000,21.282000,2.602718e+01,2.750118e+01,2.710787e+01,2.659239e+01,2.486716e+01,2.470115e+01
135,2000-02-10 06:32:03.759000,21.442000,2.601369e+01,2.748787e+01,2.714794e+01,2.650511e+01,2.488762e+01,2.470384e+01
136,2000-02-10 06:32:03.919000,21.602000,2.616203e+01,2.753444e+01,2.711455e+01,2.655883e+01,2.489444e+01,2.471387e+01
137,2000-02-10 06:32:04.079000,21.762000,2.610137e+01,2.746790e+01,2.712791e+01,2.657897e+01,2.494898e+01,2.471626e+01
