frame,abstime,reltime,april10_baselineBoardA_3.seq:Rectangle 1 [C]:max,april10_baselineBoardA_3.seq:Polygon 1 [C]:max,april10_baselineBoardA_3.seq:Rectangle 2 [C]:max,april10_baselineBoardA_3.seq:Rectangle 3 [C]:max,april10_baselineBoardA_3.seq:Rectangle 4 [C]:max,april10_baselineBoardA_3.seq:Rectangle 5 [C]:mean
145,2000-02-10 05:14:51.092000,23.041000,2.583811e+01,2.722135e+01,2.678683e+01,2.631689e+01,2.469649e+01,2.444662e+01
146,2000-02-10 05:14:51.252000,23.201000,2.587189e+01,2.722135e+01,2.679352e+01,2.630343e+01,2.473747e+01,2.447895e+01
147,2000-02-10 05:14:51.412000,23.361000,2.589892e+01,2.722802e+01,2.675333e+01,2.644465e+01,2.477162e+01,2.450068e+01
148,2000-02-10 05:14:51.572000,23.521000,2.589892e+01,2.725470e+01,2.684710e+01,2.632362e+01,2.479892e+01,2.450333e+01
149,2000-02-10 05:14:51.732000,23.681000,2.597994e+01,2.728137e+01,2.684710e+01,2.628324e+01,2.479210e+01,2.450883e+01
150,2000-02-10 05:14:51.892000,23.841000,2.596644e+01,2.724803e+01,2.678013e+01,2.634380e+01,2.475113e+01,2.452221e+01
151,2000-02-10 05:14:52.052000,24.001000,2.592593e+01,2.722135e+01,2.676673e+01,2.629670e+01,2.480575e+01,2.452267e+01
152,2000-02-10 05:14:52.212000,24.161000,2.597319e+01,2.726137e+01,2.679352e+01,2.634380e+01,2.486034e+01,2.453001e+01
153,2000-02-10 05:14:52.372000,24.321000,2.602718e+01,2.737468e+01,2.685379e+01,2.641776e+01,2.488762e+01,2.458899e+01
154,2000-02-10 05:14:52.532000,24.481000,2.602044e+01,2.738800e+01,2.694747e+01,2.643793e+01,2.487398e+01,2.460561e+01
155,2000-02-10 05:14:52.692000,24.641000,2.608114e+01,2.741464e+01,2.692740e+01,2.645809e+01,2.490126e+01,2.460981e+01
156,2000-02-10 05:14:52.852000,24.801000,2.605416e+01,2.741464e+01,2.694747e+01,2.644465e+01,2.488080e+01,2.461283e+01
157,2000-02-10 05:14:53.012000,24.961000,2.598669e+01,2.744793e+01,2.693409e+01,2.645137e+01,2.491490e+01,2.462181e+01
158,2000-02-10 05:14:53.172000,25.121000,2.609463e+01,2.740132e+01,2.692071e+01,2.644465e+01,2.488762e+01,2.462223e+01
159,2000-02-10 05:14:53.332000,25.281000,2.602044e+01,2.741464e+01,2.694078e+01,2.643793e+01,2.490808e+01,2.462899e+01
160,2000-02-10 05:14:53.492000,25.441000,2.603393e+01,2.744128e+01,2.696085e+01,2.641776e+01,2.490808e+01,2.463387e+01
161,2000-02-10 05:14:53.652000,25.601000,2.605416e+01,2.740132e+01,2.707448e+01,2.645809e+01,2.492853e+01,2.463843e+01
162,2000-02-10 05:14:53.812000,25.761000,2.613507e+01,2.742130e+01,2.692071e+01,2.647153e+01,2.488762e+01,2.464028e+01
163,2000-02-10 05:14:53.972000,25.921000,2.606765e+01,2.737468e+01,2.695416e+01,2.652526e+01,2.491490e+01,2.464770e+01
164,2000-02-10 05:14:54.132000,26.081000,2.604067e+01,2.744793e+01,2.694078e+01,2.645809e+01,2.488080e+01,2.464602e+01
165,2000-02-10 05:14:54.292000,26.241000,2.608114e+01,2.740132e+01,2.693409e+01,2.656554e+01,2.488762e+01,2.466084e+01
166,2000-02-10 05:14:54.452000,26.401000,2.611485e+01,2.739466e+01,2.693409e+01,2.651855e+01,2.494898e+01,2.465322e+01
167,2000-02-10 05:14:54.612000,26.561000,2.612833e+01,2.742130e+01,2.691402e+01,2.651855e+01,2.488762e+01,2.465489e+01
168,2000-02-10 05:14:54.772000,26.721000,2.604067e+01,2.740132e+01,2.700097e+01,2.653869e+01,2.493535e+01,2.465755e+01
169,2000-02-10 05:14:54.932000,26.881000,2.610811e+01,2.745459e+01,2.699428e+01,2.651855e+01,2.494217e+01,2.466490e+01
170,2000-02-10 05:14:55.092000,27.041000,2.606765e+01,2.745459e+01,2.697422e+01,2.667289e+01,2.503755e+01,2.466875e+01
171,2000-02-10 05:14:55.252000,27.201000,2.615529e+01,2.749452e+01,2.700765e+01,2.655883e+01,2.494898e+01,2.468325e+01
172,2000-02-10 05:14:55.412000,27.361000,2.610137e+01,2.745459e+01,2.700765e+01,2.665277e+01,2.494898e+01,2.468743e+01
173,2000-02-10 05:14:55.572000,27.521000,2.614855e+01,2.749452e+01,2.705443e+01,2.658568e+01,2.494898e+01,2.471775e+01
174,2000-02-10 05:14:55.732000,27.681000,2.618224e+01,2.754110e+01,2.706111e+01,2.653869e+01,2.501031e+01,2.473466e+01
175,2000-02-10 05:14:55.892000,27.841000,2.614181e+01,2.754110e+01,2.704107e+01,2.661252e+01,2.501031e+01,2.473651e+01
176,2000-02-10 05:14:56.052000,28.001000,2.612159e+01,2.750118e+01,2.706779e+01,2.659910e+01,2.502393e+01,2.473660e+01
177,2000-02-10 05:14:56.212000,28.161000,2.614181e+01,2.748787e+01,2.704107e+01,2.659910e+01,2.496943e+01,2.474515e+01
178,2000-02-10 05:14:56.372000,28.321000,2.618898e+01,2.756770e+01,2.710119e+01,2.661252e+01,2.504436e+01,2.475087e+01
