Board Type,Board Instance,Component,Trial,a_rise,b_rise,c_rise,a_fall,b_fall,c_fall
microphone,A,samd,3,3.4037446743742676,0.032641862720602634,3.9286432985481397,-3.1996709336766296,0.03791263378074961,0.1699704948975632
microphone,A,atmega,3,3.4091376227379317,0.032739345062526175,4.648857558082599,-3.2944250294838193,0.03719585701360407,0.14230629242073348
microphone,A,3v3reg,3,3.4732255211826506,0.033350863739587,5.073357857906528,-3.4805301534152466,0.04278793286216151,0.18303777421316422
microphone,A,buck,3,3.6360606230824724,0.03759243353122345,4.187124591551106,-3.27232188381695,0.04427601011926757,0.17200174341750823
microphone,A,usbesd,3,2.4604389538376155,0.02609776098871322,2.8338152075889873,-2.3077221481107606,0.029422038807333916,0.21413244982470872
microphone,A,fullboard,3,2.489101844090385,0.028973268588892126,2.6140783772934904,-2.3332766140200496,0.030789950990654336,0.16645930944585371
microphone,A,samd,4,3.103058968514861,0.03492100640366906,3.370863874213349,-2.7097498038537475,0.03774444615698679,0.07996847455845166
microphone,A,atmega,4,3.2421670813672483,0.0374877967825562,4.0712256966090195,-3.0592155077891836,0.05231368921772156,0.2328358323081421
microphone,A,3v3reg,4,3.3152226580443855,0.038083292865007265,4.560769138032683,-3.300485780106518,0.04819279856273125,0.261985593776447
microphone,A,buck,4,3.5631715645463413,0.041429924036143685,4.0049884051873885,-3.2531791256222844,0.04151974245952307,0.12135812607358948
microphone,A,usbesd,4,1.939526253047152,0.02803920291304219,2.1273637701438597,-1.9842647694242135,0.03302851022856838,0.09236960795703186
microphone,A,fullboard,4,2.289498788853859,0.030121018337816104,2.3994395251916316,-2.249990615744487,0.03218929644156817,0.14958765413618308
microphone,B,samd,0,3.82398382115358,0.039326412893202906,4.0273683899437,-3.339099460484176,0.03467141244781269,0.09326114533035583
microphone,B,atmega,0,3.768687961781896,0.05293609201219558,4.640748607936886,-3.3772352025494867,0.03751178737192855,0.1383679838690725
microphone,B,3v3reg,0,4.201536764260113,0.045907165627653776,5.085660939908021,-3.46637834794829,0.03930544095707117,0.17953708024318935
microphone,B,buck,0,3.8241438869802056,0.040029127840068984,4.390015278169837,-3.533030464295288,0.0455885678147647,0.1583841099779349
microphone,B,usbesd,0,2.5328649313082345,0.027744812909209604,2.79293382030275,-2.2731153788676153,0.02734867374906786,0.1524900158782602
microphone,B,fullboard,0,2.553530171118925,0.03207463370768988,2.5906617955050377,-2.321981740745415,0.029542592702307278,0.12496010419188779
microphone,B,samd,1,3.6276588666848038,0.0373303745156321,3.964712969144958,-3.2748825553428165,0.04345599386321613,0.20272311708534554
microphone,B,atmega,1,3.5375456461526755,0.052145275121753036,4.374515319065367,-3.302421482200141,0.05593346694066105,0.216087167496591
microphone,B,3v3reg,1,4.1201080235810625,0.04496407809084516,4.940797705938547,-3.483200202807218,0.05237965804960372,0.21040914181078074
microphone,B,buck,1,3.777612450650401,0.04127987079505971,4.278125903612151,-3.537859523008623,0.05853191106667743,0.23058963810568658
microphone,B,usbesd,1,2.2985551337192636,0.027503469661068414,2.2684431224683212,-1.8992463498858096,0.04108041036811384,0.07881755776782119
microphone,B,fullboard,1,2.4484679668702394,0.034062414796695244,2.5022069306328403,-2.2512432359216064,0.03773337345689784,0.23320830170467702
microphone,B,samd,2,3.6166094858056153,0.03631664537603253,4.009660145532904,-3.3376546695066276,0.03622867905692444,0.12979811164525387
microphone,B,atmega,2,3.525701619443756,0.04929889119747348,4.507791521917737,-3.344942097762053,0.03792490274873855,0.06398742234542067
microphone,B,3v3reg,2,3.9603835869169224,0.042835516955237816,4.843035076459017,-3.410597287240916,0.03981026160026542,-0.009817035016126173
